Date,Open,High,Low,Close,Volume
03-01-2000,122.070313,122.071877,122.070313,122.071877,657536
04-01-2000,131.25,131.837891,126.976563,131.686722,7191808
05-01-2000,122.664063,126.953125,121.151955,121.151955,21069440
06-01-2000,119.192581,119.53125,111.459763,111.459763,10495616
07-01-2000,102.542969,102.542969,102.542969,102.542969,971392
10-01-2000,102.542969,110.746094,94.339844,107.478905,30230400
11-01-2000,103.125,107.8125,98.880859,98.880859,15658368
12-01-2000,93.359375,104.289063,91.921875,102.168358,25993472
13-01-2000,102.34375,102.726563,93.994919,94.457809,20038400
14-01-2000,95.695313,96.070313,87.523438,95.128128,16040064
17-01-2000,95.3125,100.664063,91.5625,92.741409,18092928
18-01-2000,91.716408,95.070313,88.476563,93.247269,20290944
19-01-2000,98.015625,100.707031,97.03125,100.70195,19994752
20-01-2000,103.125,105.867188,98.523438,99.586327,19778560
21-01-2000,100.78125,106.171875,97.679688,104.845314,20786048
24-01-2000,106.25,113.195313,106.25,108.428123,25256320
25-01-2000,107.8125,111.328125,104.687889,110.229691,20469632
26-01-2000,110.229691,110.229691,110.229691,110.229691,0
27-01-2000,118.28125,118.75,113.953125,115.480469,12953792
28-01-2000,116.03125,120.296875,116.03125,118.930466,17281536
31-01-2000,117.742188,117.875,111.359375,112.839066,7598272
01-02-2000,113.28125,116.40625,111.71875,115.896873,7055424
02-02-2000,118.59375,120.3125,114.835938,115.090622,9491520
03-02-2000,115.875,117.34375,115.15625,116.262497,6032064
04-02-2000,116.796875,124.21875,116.796875,123.389847,20176704
07-02-2000,123.421875,133.261719,123.421875,132.753128,16988608
08-02-2000,132.734375,142.96875,132.734375,139.034378,14902784
09-02-2000,146.859375,146.859375,134.375,136.089844,10595520
10-02-2000,137.484375,144.921875,137.484375,143.890625,18777728
11-02-2000,144.828125,155.402344,144.828125,155.402344,2100224
14-02-2000,167.835159,167.835159,167.835159,167.835159,1518912
15-02-2000,167.835159,167.835159,154.4086,155.652344,21339968
16-02-2000,157.03125,160.9375,150.546875,156.8414,12720448
17-02-2000,156.25,168.75,156.25,160.910934,12125248
18-02-2000,162.796875,164.0625,152.734375,154.134369,10628288
21-02-2000,153.90625,164.0625,151.578125,160.230469,17751552
22-02-2000,161.546875,161.546875,152.34375,153.595306,12066560
23-02-2000,164.0625,164.0625,141.307816,143.983597,11944576
24-02-2000,146.71875,150.765625,140.4375,145.265625,8260480
25-02-2000,146.875,148.2789,138.28125,140.425003,4929856
28-02-2000,139.0625,139.0625,129.191406,132.964066,7616384
29-02-2000,134.375,143.601563,130.46875,137.178131,16031808
01-03-2000,142.171875,148.152344,140.625,148.152344,6285824
02-03-2000,158.355469,160.004684,155.189056,160.004684,1607040
03-03-2000,172.805466,172.805466,172.805466,172.805466,1708224
06-03-2000,186.557037,186.630463,165,186.630463,1385792
07-03-2000,200,201.560944,200,201.560944,3477312
08-03-2000,210.15625,217.685944,187.265625,192.422653,22432768
09-03-2000,198.28125,203.125,181.71875,185.289841,8334720
10-03-2000,189.046875,199.140625,178.539841,182.262497,10259648
13-03-2000,182.8125,190.609375,167.682037,167.682037,7513664
14-03-2000,159.53125,159.53125,154.267975,154.267975,8390592
15-03-2000,142.671875,160.15625,141.926559,155.733597,16262144
16-03-2000,150,150,143.274994,143.274994,5725568
17-03-2000,143.274994,143.274994,143.274994,143.274994,0
20-03-2000,143.274994,143.274994,143.274994,143.274994,0
21-03-2000,143.671875,154.737503,132.984375,154.737503,14633344
22-03-2000,151.5625,167.117188,148.4375,167.098434,9580544
23-03-2000,171.25,180.3125,158.59375,160.375778,14267456
24-03-2000,157.96875,173.125,157.96875,169.116409,12254144
27-03-2000,164.0625,171.859375,160.9375,161.989838,8076992
28-03-2000,157.828125,159.375,150.955475,155.431244,8920448
29-03-2000,159.375,166.875,158.609375,159.201569,6539904
30-03-2000,154.6875,154.6875,146.5625,152.276566,7659648
31-03-2000,150,150,140.094528,140.1586,8080640
03-04-2000,132.828125,140.625,128.946091,128.946091,3743552
04-04-2000,118.63047,118.63047,118.63047,118.63047,400192
05-04-2000,110.171875,128.109375,110.171875,121.83828,28349120
06-04-2000,122.6875,131.585938,114.078125,131.489059,30059968
07-04-2000,142.008591,142.008591,142.008591,142.008591,222400
10-04-2000,153.369537,153.369537,153.369537,153.369537,210624
11-04-2000,153.369537,165.639069,141.421875,165.612503,27174080
12-04-2000,162.34375,165.203125,156.09375,157.453125,16391936
13-04-2000,154.688278,154.688278,144.857025,144.857025,3314176
14-04-2000,144.857025,144.857025,144.857025,144.857025,0
17-04-2000,133.268753,133.268753,133.268753,133.268753,220096
